,Lake ID,Bacillariophyta,Chlorophyta,Chrysophyta,Cryptophyta,Cyanophyta,Dinophyta,Euglenophyta,Microcystis,Total_biomass
1,3,0.074373762,0.160529487,0.343772055,0.134699147,3.227963717,0,0,0.063537272,3.941338168
2,4,1.712734823,19.65458457,0,0.804899315,1.002584784,0,0,0,23.17480349
3,5,1.924886512,21.73736417,0,2.572102039,0.158955595,0,0.472775914,0,26.86608423
4,8,0.782658852,12.69362222,0.160534809,1.245412073,0.242683007,0,0,0,15.12491096
5,9,1.040002386,0.525762888,0,0.997828766,0.098881724,0,0,0,2.662475764
6,11,15.98863221,0.417836542,0,5.545816337,25.61197295,0.134325044,0.032563647,4.299762951,47.73114672
7,12,0.431502907,6.550061448,0,3.292240679,0.048554907,0,0,0,10.32235994
8,13,0.291716005,4.902861329,0,0.391015959,0,0,0.367457754,0,5.953051047
9,14,0.122082171,0.445303478,0,0.361507364,20.93500637,0,0,11.38748196,21.86389939
10,15,2.135875496,0.568688343,0,0.140707117,4.33489215,0,0.351152199,0.175883897,7.531315305
11,16,0.069095532,0.018980559,0,0.431699967,0,0,0,0,0.519776058
12,17,37.59105236,1.39474107,0,1.259732378,2.244773743,0,0,0,42.49029955
13,19,1.775919976,0.187824387,0.009731665,0.614181286,2.272254335,0,0,0.159295888,4.859911649
14,20,0.013891315,0.182950295,0,1.569244337,10.08192711,0.211060676,1.639292033,0.044730285,13.69836576
15,21,3.239866465,1.71032318,0,0.979351687,132.9575749,0,0,66.73653307,138.8871162
16,22,0.086336078,0.176797674,0,0.196841025,2.6319392,0,0.424388699,0,3.516302676
17,24,0.077271622,0.237996038,0,0.026774554,1.480967535,0,0,0.191326503,1.823009749
18,25,0.261316392,0.149257495,0,2.932298591,81.58043992,0,0,67.16344412,84.9233124
19,28,1.365893709,0.943359132,0,8.178664392,2.014373063,0,0.90052555,0,13.40281585
20,29,1.835598048,0.184324039,0,0.552123366,26.00202992,0,0.15667372,14.38721137,28.73074909
21,30,0.026354063,0.270263466,0.005610628,0.819158536,58.15699259,0,0,0.025033915,59.27837928
22,31,2.353718436,0.189602048,0,2.044668487,0.212219401,0,0.007278697,0,4.807487069
23,32,1.113709928,0.197005228,0,6.705381082,0.019056033,0,0.59501797,0,8.630170241
24,33,1.456591502,0.619437275,0,0.017002519,38.93557197,0,0.021336494,26.42669575,41.04993976
25,35,0.181441735,0.031934409,0.066984851,1.572846457,0,0,0,0,1.853207452
26,36,24.80192448,1.847083083,2.311584764,0.311029733,14.37555448,0,0,0,43.64717653
27,37,0.198067253,0.09765296,0,0.247862239,2.059270577,0,1.821679769,0.010034428,4.424532798
28,39,1.270401753,0.231925237,1.92065215,0.128707347,0.757046875,0,0.030528419,0.020938559,4.339261781
29,42,4.353609923,0.640245083,0,1.341272193,0.656738581,0,0,0,6.99186578
30,43,1.365362958,3.133162576,0,2.718500049,34.62835852,0,0,5.370800785,41.8453841
31,44,0.002525216,0.711052417,0,1.102521519,43.11786597,0,0,9.532971714,44.93396513
32,46,0.416806953,34.75124208,0.08951234,1.084551247,0,0,0.396104893,0,36.73821752
33,47,0.552019129,3.647336304,0,2.910974753,0.114682473,0,6.026965743,0,13.2519784
34,48,0.963070184,0.259585787,0,0.371436638,33.299109,0,0,0,34.89320161
35,51,14.28353574,16.34760083,0,3.50418723,1.390656359,0,0,0,35.52598016
36,52,2.606784487,0.264158198,0,0.444643474,0.681637527,2.974606645,0,0.036287625,6.971830331
37,53,4.177415424,0.958406325,0,0.08373233,45.16864018,0,0,22.13460863,50.38819426
38,56,0.008161013,0.181701279,0,3.147819222,6.577922049,0,0,0,9.915603563
39,57,24.80810101,0.26297857,0,6.333726532,0.012720175,0,0,0,31.41752629
40,59,0.675394163,0,0,0.328350109,43.91743657,85.34931912,0,0.137892975,130.2705
41,60,4.021015045,0.515949456,0.174382031,0.570990498,5.279796826,0,0,0,10.56213386
42,61,0.222639567,0.252406788,0,0.152742202,8.49016203,0,0,1.850819064,9.117950587
43,64,7.920690939,2.788897432,0,0.178345798,40.31620758,0,0,38.63294018,51.20414175
44,65,0.109642166,0.427653843,0,1.552264114,25.18892419,0,0,0,27.27848431
45,66,3.488719903,0.353979105,0,4.148421987,29.11538079,0,0.548822368,25.26146664,37.65532415
46,67,4.876722394,4.119420843,0,0.870106225,17.34038863,5.758309275,1.146791695,14.48600784,34.11173906
47,68,0.555640159,0.033273374,0.857338763,2.698077076,0.000947778,0,0,0,4.14527715
48,69,1.893690693,0.505141637,0,0.288097823,3.340740126,23.85267051,0,0.603193823,29.88034079
49,70,0.008934427,0.192940524,0,0.129194717,0.472074693,0,0,0.262719558,0.803144361
50,71,0.108308493,0.528093603,0,0.685095811,5.453426809,0,0,0.012480211,6.774924716
51,74,1.653936913,0.220205454,0,0.985037816,22.25208383,0,0,1.80316481,25.11126401
52,75,1.655582555,0.67999227,0,0.112163673,31.01345983,0,0,0,33.46119833
53,76,0.006043443,4.540438599,0,0.261542685,9.756776025,0,0,0.120868859,14.56480075
54,78,3.291007791,0.605646647,0.088214748,0.340440332,103.2768169,0,0.079393273,94.76448108,107.6815197
55,79,1.033818344,0.040161831,0,0.026774554,3.021898917,0,0,0.637755009,4.122653646
56,84,0.077800951,2.041453656,0,1.664320144,32.88951805,60.94179004,0.52946455,13.68813144,98.14434739
57,85,0.007294122,0.424157669,0,0.004833666,3.336478632,0,0,0.327495815,3.772764089
58,86,0.161310659,0.138724933,0,0.401219601,3.003925712,0,0,0,3.705180905
59,88,1.460860731,0.689489381,0,2.264437254,0.005751361,0,0.063028612,0,4.483567339
60,89,0.000383901,0.226827878,0,0.182154245,2.075322694,0,0.003392047,0,2.488080765
61,90,11.26396348,1.185006858,0,0.635840906,63.43053931,0,0,0,76.51535055
62,91,0.38204806,1.037155252,0,0.289662257,0.702045167,0,0.472775914,0,2.88368665
63,92,0.962770964,0.223335283,0,0.028272638,15.25557429,0,0.150417455,0.495760653,16.62037063
64,93,0.182346678,1.165148492,0,3.606819131,0.008552069,0,2.717255443,0,7.680121813
65,94,2.12718604,0.166681541,0,1.487874708,4.975507207,0,1.149008666,0,9.906258162
66,95,0.128646507,8.524880462,0,0,0.404030436,0,0,0,9.057557405
67,96,0.024507537,1.026951482,0,0.412935606,1.412171821,0,0,0.760193933,2.876566446
68,97,3.259670213,0.052313125,0,0.559742348,12.52932836,0,0,1.965432748,16.40105405
69,98,0.55256131,0.000804041,0,0.779699908,0.012563135,0,0,0.012563135,1.345628394
70,101,0.195984914,0.959297004,0,0.543531493,3.208442184,0,0,0,4.907255595
71,102,4.602507158,2.08699558,0,0.309434247,4.888240457,6.736830636,0.23812167,1.103143799,18.86212975
72,103,0.016928825,0.355415756,0,0.600524079,1.497260526,94.47207763,0,0.002638258,96.94220682
73,105,7.562665834,0,0,0,3.091260704,0,0,0,10.65392654
74,107,0.020047996,0.204196179,0,0.902962799,0.011940004,0,0,0,1.139146978
75,108,14.68485531,1.602091402,0,18.53023986,0.534229389,0.577990379,21.54371629,0,57.47312263
76,109,0.019602543,0.113273236,0.015937235,0.119126118,1.403107406,0,0,0.117567018,1.671046538
77,110,0.002871574,0.14232787,0,0.570458442,2.436526819,3.908929864,0,1.746921934,7.061114569
78,111,0.432915998,3.854931057,0,1.140050904,21.23003034,0,0,9.926428023,26.6579283
79,112,0.017673603,1.154395381,0,0.260304161,1.303229939,10.74525126,0.388790602,0,13.86964495
80,113,0.800786232,2.360211134,0,0.284228376,0,0,0,0,3.445225742
81,114,3.077055185,13.58562287,1.724944523,8.173984737,163.3030057,0,0,163.1854858,189.864613
82,115,0.081257313,2.364884413,0,0.055786742,3.609894517,11.91984779,0,1.388088,18.03167078
83,116,4.386132049,0.20625962,0,0.494433755,8.890341995,0,0,0.745232633,13.97716742
84,119,2.842363539,0.047253685,0,0.626741909,35.63906993,34.12471906,0.055999068,24.70951551,73.33614719
85,120,0.028815277,0.115917017,0,0.697627768,0.003708076,0,0,0,0.846068138
86,121,1.571811408,0.438441531,0,1.348255536,147.4879176,0,1.181103475,144.8997102,152.0275296
87,122,0.857860536,0.210098899,0,0.898455317,10.42555591,0.09271594,1.309748177,0.171696185,13.79443478
88,123,5.341350414,0.709628707,0,1.233970155,6.021020572,4.985366231,0,1.185017753,18.29133608
89,126,0.010402276,0.081035016,0,0,4.447987172,0,0,0.288952116,4.539424464
90,127,0.198104942,2.704068339,0,0.880062715,103.0882743,6.279055106,0,40.19786901,113.1495654
91,130,0.135484718,1.126738694,0,0.116587364,29.77079472,0,0,1.632601144,31.1496055
92,131,1.195034161,0.310025455,0,0.406539971,113.6255062,0,0.041860367,23.81183673,115.5789661
93,132,0.002896572,0.020259649,0,0.935605067,0,0,0,0,0.958761288
94,205,0.449699414,0.199037731,0,1.012488694,64.86819112,0,0,46.16369207,66.52941696
95,245,0.274434934,0.410831897,0,0.205891143,4.878896497,7.351705663,0.151608569,0.001822492,13.2733687
96,257,1.66265063,2.559614898,0,2.130436393,0.262695162,0,3.052841918,0,9.668239001
97,259,0.350265865,0.009487461,0,0.006008768,105.2114313,0,0,101.9777229,105.5771934
98,300,0.145743989,0.599945538,0,0.760739266,0.10198235,0,0,0,1.608411143
99,304,0.563807858,0.664635507,0,0.452166868,21.43585733,0,0,15.32819728,23.11646757
100,400,2.592620408,0.475948847,0.516311006,0.933220093,4.410317366,0,0,0.041569884,8.92841772
101,2,0,0.086024132,0.056843805,0.315850373,0.000684764,0,0,0,0.459403074
102,7,0,0.031407839,0,0,268.3193624,0,0,267.7225677,268.3507702
103,18,0,0.417387776,0,3.566641731,18.50703882,1.306566088,0,0.008683639,23.79763441
104,40,0,0.06100789,0,0.091015416,0.016679475,0,0,0,0.168702781
105,49,0,0.066920682,0,0.208864989,14.37540528,0,0.3775976,0,15.02878855
106,62,0,0.003484176,0,0.025440349,0.037312512,0,0,0,0.066237037
107,73,0,0.143318828,0,0.262548592,5.238634478,0,0,0,5.644501898
108,77,0,0.009646693,0,0.525265849,10.88225929,51.76117062,0,0.062219389,63.17834246
109,80,0,0.308166175,0,33.36408495,0,51.98685041,0,0,85.65910154
110,82,0,0.00102253,0,0.571043667,17.25349448,0,0,0,17.82556068
111,87,0,0.079062845,0,0.409638057,9.776071548,0,0,0.015485378,10.26477245
112,99,0,0.499820318,0,2.648013651,0.34938885,0,0,0.092812579,3.497222819
113,124,0,0.337811247,0,1.866124873,29.76320714,14.16770855,0,0,46.13485181
114,125,0,0.000542952,0,0.842894814,14.97217604,0,0,12.10513776,15.81561381
115,128,0,0.208873893,0,0.375896542,9.186848012,0,0,0.803814087,9.771618447
116,301,0,0.034270338,0.03323699,0.014344642,0.007632105,0.944641349,0.017924764,0,1.052050188
117,38,0,0,0,0.248750082,4.786366166,0,0,0,5.035116248
118,41,0,0,0,0.426941873,279.7006258,0,0,279.2993469,280.1275677
119,63,0,0,0,0.776931288,38.22681179,0,0,2.716501441,39.00374308
120,72,0,0,0,0,79.47413446,0,0,79.45813678,79.47413446
