"","year","beach","lake_name","beach_detect","lake_detect","beach_logical","lake_logical","compare"
"1",2017,"Beeds Lake Beach","Beeds Lake",1,1,1,-1,0
"2",2018,"Beeds Lake Beach","Beeds Lake",0,0,0,0,0
"3",2019,"Beeds Lake Beach","Beeds Lake",5,2,1,-1,0
"4",2020,"Beeds Lake Beach","Beeds Lake",3,0,1,0,1
"5",2021,"Beeds Lake Beach","Beeds Lake",2,2,1,-1,0
"6",2022,"Beeds Lake Beach","Beeds Lake",0,0,0,0,0
"7",2017,"Big Creek Beach","Big Creek",1,0,1,0,1
"8",2018,"Big Creek Beach","Big Creek",2,0,1,0,1
"9",2019,"Big Creek Beach","Big Creek",1,0,1,0,1
"10",2020,"Big Creek Beach","Big Creek",0,0,0,0,0
"11",2021,"Big Creek Beach","Big Creek",0,0,0,0,0
"12",2022,"Big Creek Beach","Big Creek",1,0,1,0,1
"13",2017,"Black Hawk Beach","Black Hawk Lake",10,1,1,-1,0
"14",2018,"Black Hawk Beach","Black Hawk Lake",7,1,1,-1,0
"15",2019,"Black Hawk Beach","Black Hawk Lake",6,1,1,-1,0
"16",2020,"Black Hawk Beach","Black Hawk Lake",0,0,0,0,0
"17",2021,"Black Hawk Beach","Black Hawk Lake",3,0,1,0,1
"18",2022,"Black Hawk Beach","Black Hawk Lake",1,0,1,0,1
"19",2017,"Blue Lake Beach","Blue Lake",3,0,1,0,1
"20",2018,"Blue Lake Beach","Blue Lake",5,0,1,0,1
"21",2019,"Blue Lake Beach","Blue Lake",1,0,1,0,1
"22",2021,"Blue Lake Beach","Blue Lake",0,0,0,0,0
"23",2022,"Blue Lake Beach","Blue Lake",0,1,0,-1,-1
"24",2017,"Brushy Creek Beach","Brushy Creek Lake",0,0,0,0,0
"25",2018,"Brushy Creek Beach","Brushy Creek Lake",3,0,1,0,1
"26",2019,"Brushy Creek Beach","Brushy Creek Lake",2,0,1,0,1
"27",2020,"Brushy Creek Beach","Brushy Creek Lake",1,0,1,0,1
"28",2021,"Brushy Creek Beach","Brushy Creek Lake",0,0,0,0,0
"29",2022,"Brushy Creek Beach","Brushy Creek Lake",0,0,0,0,0
"30",2017,"Clear Lake State Park Beach","Clear Lake",14,2,1,-1,0
"31",2018,"Clear Lake State Park Beach","Clear Lake",15,2,1,-1,0
"32",2019,"Clear Lake State Park Beach","Clear Lake",5,2,1,-1,0
"33",2020,"Clear Lake State Park Beach","Clear Lake",7,1,1,-1,0
"34",2021,"Clear Lake State Park Beach","Clear Lake",7,3,1,-1,0
"35",2022,"Clear Lake State Park Beach","Clear Lake",1,1,1,-1,0
"36",2017,"Crandalls Beach","Big Spirit Lake",9,2,1,-1,0
"37",2018,"Crandalls Beach","Big Spirit Lake",10,2,1,-1,0
"38",2019,"Crandalls Beach","Big Spirit Lake",7,2,1,-1,0
"39",2021,"Crandalls Beach","Big Spirit Lake",2,1,1,-1,0
"40",2022,"Crandalls Beach","Big Spirit Lake",2,1,1,-1,0
"41",2017,"Denison Beach","Black Hawk Lake",8,1,1,-1,0
"42",2018,"Denison Beach","Black Hawk Lake",10,1,1,-1,0
"43",2019,"Denison Beach","Black Hawk Lake",3,1,1,-1,0
"44",2020,"Denison Beach","Black Hawk Lake",3,0,1,0,1
"45",2021,"Denison Beach","Black Hawk Lake",4,0,1,0,1
"46",2022,"Denison Beach","Black Hawk Lake",2,0,1,0,1
"47",2017,"Emerson Bay Beach","West Okoboji Lake",0,0,0,0,0
"48",2018,"Emerson Bay Beach","West Okoboji Lake",1,0,1,0,1
"49",2019,"Emerson Bay Beach","West Okoboji Lake",1,1,1,-1,0
"50",2021,"Emerson Bay Beach","West Okoboji Lake",0,0,0,0,0
"51",2022,"Emerson Bay Beach","West Okoboji Lake",0,1,0,-1,-1
"52",2017,"Geode Lake Beach","Lake Geode",4,0,1,0,1
"53",2021,"Geode Lake Beach","Lake Geode",5,1,1,-1,0
"54",2022,"Geode Lake Beach","Lake Geode",7,1,1,-1,0
"55",2017,"George Wyth Beach","George Wyth Lake",5,1,1,-1,0
"56",2018,"George Wyth Beach","George Wyth Lake",3,1,1,-1,0
"57",2019,"George Wyth Beach","George Wyth Lake",1,1,1,-1,0
"58",2020,"George Wyth Beach","George Wyth Lake",4,1,1,-1,0
"59",2021,"George Wyth Beach","George Wyth Lake",0,1,0,-1,-1
"60",2022,"George Wyth Beach","George Wyth Lake",2,0,1,0,1
"61",2017,"Green Valley Beach","Green Valley Lake",15,2,1,-1,0
"62",2018,"Green Valley Beach","Green Valley Lake",14,3,1,-1,0
"63",2019,"Green Valley Beach","Green Valley Lake",15,2,1,-1,0
"64",2020,"Green Valley Beach","Green Valley Lake",13,1,1,-1,0
"65",2021,"Green Valley Beach","Green Valley Lake",8,2,1,-1,0
"66",2022,"Green Valley Beach","Green Valley Lake",6,3,1,-1,0
"67",2017,"Gull Point Beach","West Okoboji Lake",4,0,1,0,1
"68",2018,"Gull Point Beach","West Okoboji Lake",0,0,0,0,0
"69",2019,"Gull Point Beach","West Okoboji Lake",1,1,1,-1,0
"70",2021,"Gull Point Beach","West Okoboji Lake",0,0,0,0,0
"71",2022,"Gull Point Beach","West Okoboji Lake",0,1,0,-1,-1
"72",2017,"Honey Creek Beach","Rathbun Lake",6,1,1,-1,0
"73",2018,"Honey Creek Beach","Rathbun Lake",0,0,0,0,0
"74",2019,"Honey Creek Beach","Rathbun Lake",6,0,1,0,1
"75",2021,"Honey Creek Beach","Rathbun Lake",1,0,1,0,1
"76",2022,"Honey Creek Beach","Rathbun Lake",0,1,0,-1,-1
"77",2017,"Lacey-Keosauqua Beach","Lacey Keosauqua Lake",0,0,0,0,0
"78",2018,"Lacey-Keosauqua Beach","Lacey Keosauqua Lake",3,0,1,0,1
"79",2019,"Lacey-Keosauqua Beach","Lacey Keosauqua Lake",1,0,1,0,1
"80",2021,"Lacey-Keosauqua Beach","Lacey Keosauqua Lake",0,0,0,0,0
"81",2022,"Lacey-Keosauqua Beach","Lacey Keosauqua Lake",0,0,0,0,0
"82",2017,"Lake Ahquabi Beach","Lake Ahquabi",3,0,1,0,1
"83",2018,"Lake Ahquabi Beach","Lake Ahquabi",2,0,1,0,1
"84",2019,"Lake Ahquabi Beach","Lake Ahquabi",1,0,1,0,1
"85",2020,"Lake Ahquabi Beach","Lake Ahquabi",0,0,0,0,0
"86",2021,"Lake Ahquabi Beach","Lake Ahquabi",0,0,0,0,0
"87",2017,"Lake Anita Beach","Lake Anita",11,2,1,-1,0
"88",2018,"Lake Anita Beach","Lake Anita",8,1,1,-1,0
"89",2019,"Lake Anita Beach","Lake Anita",5,1,1,-1,0
"90",2020,"Lake Anita Beach","Lake Anita",7,1,1,-1,0
"91",2021,"Lake Anita Beach","Lake Anita",3,1,1,-1,0
"92",2022,"Lake Anita Beach","Lake Anita",1,3,1,-1,0
"93",2017,"Lake Darling Beach","Lake Darling Max Depth",12,2,1,-1,0
"94",2018,"Lake Darling Beach","Lake Darling Max Depth",8,2,1,-1,0
"95",2019,"Lake Darling Beach","Lake Darling Max Depth",11,2,1,-1,0
"96",2021,"Lake Darling Beach","Lake Darling Max Depth",14,3,1,-1,0
"97",2022,"Lake Darling Beach","Lake Darling Max Depth",2,1,1,-1,0
"98",2017,"Lake Keomah Beach","Lake Keomah",7,2,1,-1,0
"99",2018,"Lake Keomah Beach","Lake Keomah",7,1,1,-1,0
"100",2019,"Lake Keomah Beach","Lake Keomah",10,2,1,-1,0
"101",2020,"Lake Keomah Beach","Lake Keomah",4,1,1,-1,0
"102",2021,"Lake Keomah Beach","Lake Keomah",0,0,0,0,0
"103",2022,"Lake Keomah Beach","Lake Keomah",0,0,0,0,0
"104",2017,"Lake Macbride Beach","Lake Macbride (maximum water depth)",0,0,0,0,0
"105",2018,"Lake Macbride Beach","Lake Macbride (maximum water depth)",4,1,1,-1,0
"106",2019,"Lake Macbride Beach","Lake Macbride (maximum water depth)",2,1,1,-1,0
"107",2020,"Lake Macbride Beach","Lake Macbride (maximum water depth)",1,0,1,0,1
"108",2021,"Lake Macbride Beach","Lake Macbride (maximum water depth)",0,0,0,0,0
"109",2022,"Lake Macbride Beach","Lake Macbride (maximum water depth)",2,1,1,-1,0
"110",2017,"Lake Manawa Beach","Lake Manawa",5,1,1,-1,0
"111",2018,"Lake Manawa Beach","Lake Manawa",6,1,1,-1,0
"112",2019,"Lake Manawa Beach","Lake Manawa",0,2,0,-1,-1
"113",2021,"Lake Manawa Beach","Lake Manawa",1,1,1,-1,0
"114",2022,"Lake Manawa Beach","Lake Manawa",3,2,1,-1,0
"115",2017,"Lake of Three Fires Beach","Lake of Three Fires Max Depth",14,2,1,-1,0
"116",2018,"Lake of Three Fires Beach","Lake of Three Fires Max Depth",9,1,1,-1,0
"117",2019,"Lake of Three Fires Beach","Lake of Three Fires Max Depth",10,3,1,-1,0
"118",2021,"Lake of Three Fires Beach","Lake of Three Fires Max Depth",6,1,1,-1,0
"119",2022,"Lake of Three Fires Beach","Lake of Three Fires Max Depth",8,2,1,-1,0
"120",2017,"Lake Wapello Beach","Lake Wapello",1,0,1,0,1
"121",2018,"Lake Wapello Beach","Lake Wapello",2,0,1,0,1
"122",2019,"Lake Wapello Beach","Lake Wapello",0,0,0,0,0
"123",2021,"Lake Wapello Beach","Lake Wapello",0,0,0,0,0
"124",2022,"Lake Wapello Beach","Lake Wapello",0,0,0,0,0
"125",2017,"Marble Beach","Big Spirit Lake",11,2,1,-1,0
"126",2021,"Marble Beach (Marble Beach State Park)","Big Spirit Lake",2,1,1,-1,0
"127",2022,"Marble Beach (Marble Beach State Park)","Big Spirit Lake",1,1,1,-1,0
"128",2017,"McIntosh Woods Beach","Clear Lake",15,2,1,-1,0
"129",2018,"McIntosh Woods Beach","Clear Lake",15,2,1,-1,0
"130",2019,"McIntosh Woods Beach","Clear Lake",11,2,1,-1,0
"131",2020,"McIntosh Woods Beach","Clear Lake",14,1,1,-1,0
"132",2021,"McIntosh Woods Beach","Clear Lake",14,3,1,-1,0
"133",2022,"McIntosh Woods Beach","Clear Lake",6,1,1,-1,0
"134",2017,"Nine Eagles Beach","Nine Eagles Lake",4,0,1,0,1
"135",2018,"Nine Eagles Beach","Nine Eagles Lake",2,0,1,0,1
"136",2019,"Nine Eagles Beach","Nine Eagles Lake",1,0,1,0,1
"137",2021,"Nine Eagles Beach","Nine Eagles Lake",0,0,0,0,0
"138",2022,"Nine Eagles Beach","Nine Eagles Lake",0,0,0,0,0
"139",2017,"North Twin Lake East Beach","North Twin Lake (maximum water depth)",8,1,1,-1,0
"140",2018,"North Twin Lake East Beach","North Twin Lake (maximum water depth)",12,2,1,-1,0
"141",2019,"North Twin Lake East Beach","North Twin Lake (maximum water depth)",9,2,1,-1,0
"142",2020,"North Twin Lake East Beach","North Twin Lake (maximum water depth)",7,1,1,-1,0
"143",2021,"North Twin Lake East Beach","North Twin Lake (maximum water depth)",4,3,1,-1,0
"144",2022,"North Twin Lake East Beach","North Twin Lake (maximum water depth)",10,3,1,-1,0
"145",2017,"North Twin Lake West Beach","North Twin Lake (maximum water depth)",13,1,1,-1,0
"146",2018,"North Twin Lake West Beach","North Twin Lake (maximum water depth)",10,2,1,-1,0
"147",2019,"North Twin Lake West Beach","North Twin Lake (maximum water depth)",6,2,1,-1,0
"148",2020,"North Twin Lake West Beach","North Twin Lake (maximum water depth)",6,1,1,-1,0
"149",2021,"North Twin Lake West Beach","North Twin Lake (maximum water depth)",5,3,1,-1,0
"150",2022,"North Twin Lake West Beach","North Twin Lake (maximum water depth)",7,3,1,-1,0
"151",2021,"Orleans City Beach","Big Spirit Lake",0,1,0,-1,-1
"152",2022,"Orleans City Beach","Big Spirit Lake",0,1,0,-1,-1
"153",2017,"Pikes Point Beach","West Okoboji Lake",1,0,1,0,1
"154",2018,"Pikes Point Beach","West Okoboji Lake",5,0,1,0,1
"155",2019,"Pikes Point Beach","West Okoboji Lake",3,1,1,-1,0
"156",2021,"Pikes Point Beach","West Okoboji Lake",0,0,0,0,0
"157",2022,"Pikes Point Beach","West Okoboji Lake",0,1,0,-1,-1
"158",2017,"Pine Lake South Beach","Lower Pine Lake",4,0,1,0,1
"159",2018,"Pine Lake South Beach","Lower Pine Lake",3,0,1,0,1
"160",2019,"Pine Lake South Beach","Lower Pine Lake",1,0,1,0,1
"161",2020,"Pine Lake South Beach","Lower Pine Lake",2,0,1,0,1
"162",2021,"Pine Lake South Beach","Lower Pine Lake",11,2,1,-1,0
"163",2022,"Pine Lake South Beach","Lower Pine Lake",3,1,1,-1,0
"164",2017,"Pleasant Creek Beach","Pleasant Creek Lake",0,1,0,-1,-1
"165",2019,"Pleasant Creek Beach","Pleasant Creek Lake",1,1,1,-1,0
"166",2020,"Pleasant Creek Beach","Pleasant Creek Lake",0,0,0,0,0
"167",2021,"Pleasant Creek Beach","Pleasant Creek Lake",0,0,0,0,0
"168",2022,"Pleasant Creek Beach","Pleasant Creek Lake",0,0,0,0,0
"169",2017,"Prairie Rose Beach","Prairie Rose Lake",11,2,1,-1,0
"170",2018,"Prairie Rose Beach","Prairie Rose Lake",5,1,1,-1,0
"171",2019,"Prairie Rose Beach","Prairie Rose Lake",4,0,1,0,1
"172",2020,"Prairie Rose Beach","Prairie Rose Lake",2,0,1,0,1
"173",2021,"Prairie Rose Beach","Prairie Rose Lake",3,2,1,-1,0
"174",2022,"Prairie Rose Beach","Prairie Rose Lake",1,3,1,-1,0
"175",2017,"Red Haw Beach","Red Haw Lake",0,0,0,0,0
"176",2018,"Red Haw Beach","Red Haw Lake",7,0,1,0,1
"177",2019,"Red Haw Beach","Red Haw Lake",1,0,1,0,1
"178",2020,"Red Haw Beach","Red Haw Lake",0,0,0,0,0
"179",2021,"Red Haw Beach","Red Haw Lake",0,0,0,0,0
"180",2022,"Red Haw Beach","Red Haw Lake",0,0,0,0,0
"181",2017,"Rock Creek Beach","Rock Creek Max Depth",5,0,1,0,1
"182",2018,"Rock Creek Beach","Rock Creek Max Depth",8,1,1,-1,0
"183",2019,"Rock Creek Beach","Rock Creek Max Depth",1,2,1,-1,0
"184",2020,"Rock Creek Beach","Rock Creek Max Depth",4,1,1,-1,0
"185",2021,"Rock Creek Beach","Rock Creek Max Depth",4,2,1,-1,0
"186",2022,"Rock Creek Beach","Rock Creek Max Depth",1,0,1,0,1
"187",2017,"Springbrook Beach","Springbrook Lake",3,1,1,-1,0
"188",2018,"Springbrook Beach","Springbrook Lake",3,0,1,0,1
"189",2019,"Springbrook Beach","Springbrook Lake",2,0,1,0,1
"190",2021,"Springbrook Beach","Springbrook Lake",1,0,1,0,1
"191",2022,"Springbrook Beach","Springbrook Lake",0,1,0,-1,-1
"192",2017,"Triboji Beach","West Okoboji Lake",1,0,1,0,1
"193",2018,"Triboji Beach","West Okoboji Lake",3,0,1,0,1
"194",2019,"Triboji Beach","West Okoboji Lake",3,1,1,-1,0
"195",2021,"Triboji Beach","West Okoboji Lake",0,0,0,0,0
"196",2022,"Triboji Beach","West Okoboji Lake",0,1,0,-1,-1
"197",2017,"Union Grove Beach","Union Grove Lake",7,1,1,-1,0
"198",2018,"Union Grove Beach","Union Grove Lake",10,1,1,-1,0
"199",2019,"Union Grove Beach","Union Grove Lake",3,1,1,-1,0
"200",2020,"Union Grove Beach","Union Grove Lake",9,2,1,-1,0
"201",2021,"Union Grove Beach","Union Grove Lake",4,0,1,0,1
"202",2022,"Union Grove Beach","Union Grove Lake",1,0,1,0,1
"203",2017,"Viking Lake Beach","Viking Lake",11,2,1,-1,0
"204",2018,"Viking Lake Beach","Viking Lake",13,2,1,-1,0
"205",2019,"Viking Lake Beach","Viking Lake",1,0,1,0,1
"206",2021,"Viking Lake Beach","Viking Lake",0,0,0,0,0
"207",2022,"Viking Lake Beach","Viking Lake",0,0,0,0,0
